playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8475324,N. Jensen,WSH,D,21441,18,0,2,0,16,15,31,40,3362,-2,20.6,D,D,3.46,1.14,0,64,72.96
8480813,J. Veleno,DET,C,17771,20,5,3,0,22,18,7,287,1295,3,20.5,C,F,4.15,1.02,0,62,63.24
8480185,E. Luostarinen,FLA,C,20353,21,2,3,0,32,23,16,814,2536,0,20.5,C,F,3.63,0.98,0,61,59.78
8477407,A. Duclair,SJS,L,19191,19,3,2,3,34,10,13,2750,327,-12,20.4,W,F,3.83,1.07,0,60,64.2
8474149,E. Dadonov,DAL,R,15767,19,4,4,2,24,10,8,1237,2,-8,20.4,W,F,4.66,1.07,0,63,67.41000000000001
8478458,J. Roslovic,CBJ,C,13866,14,2,6,2,29,5,12,1369,692,-6,20.4,C,F,5.3,1.46,7,52,75.92
8481605,J. LaCombe,ANA,D,23962,20,0,3,0,17,16,28,423,3691,-16,20.3,D,D,3.05,1.02,0,61,62.22
8473504,C. Clutterbuck,NYI,R,15026,20,2,4,0,14,48,12,34,2715,1,20.2,W,F,4.84,1.01,0,62,62.62
8477998,W. Foegele,EDM,L,15861,20,3,5,1,45,17,5,457,1029,-10,20.2,W,F,4.58,1.01,0,62,62.62
8476917,A. Pelech,NYI,D,18846,16,0,3,0,16,15,28,16,2620,6,20.1,D,D,3.84,1.26,10,52,65.52
8481601,S. Holmstrom,NYI,R,15879,19,5,0,2,17,3,14,15,1598,2,20.0,W,F,4.53,1.05,0,62,65.10000000000001
8482113,A. Lundell,FLA,C,19717,21,2,7,1,39,6,8,1740,1295,1,20.0,C,F,3.65,0.95,0,61,57.949999999999996
8477953,K. Kapanen,STL,R,19315,20,3,5,2,32,12,7,1786,1601,0,19.9,W,F,3.71,0.99,0,62,61.38
8477384,J. Brown,ARI,D,11624,13,1,0,0,13,21,29,0,1768,-3,19.9,D,D,6.16,1.53,0,62,94.86
8474870,T. Johnson,CHI,C,17299,19,5,2,1,28,11,7,2422,147,-7,19.9,C,F,4.14,1.05,0,63,66.15
8476918,J. Vesey,NYR,L,11802,18,4,3,0,20,13,11,40,1508,4,19.8,W,F,6.04,1.1,0,62,68.2
8480289,M. Barron,WPG,C,12558,20,3,2,1,31,17,13,126,2642,1,19.8,C,F,5.68,0.99,0,62,61.38
8477476,A. Lehkonen,COL,L,13319,12,3,5,4,34,13,4,2978,1350,-3,19.7,W,F,5.32,1.64,3,58,95.11999999999999
8479346,D. Dube,CGY,C,16896,21,3,4,1,23,12,11,1131,1244,-5,19.5,C,F,4.15,0.93,0,60,55.800000000000004
