"id,fullName"
"3042037,Anthony Mantha"
"3042039,Frederik Gauthier"
"3042040,Dillon Heatherington"
"3042041,Carl Dahlstrom"
"3042043,Justin Bailey"
"3042044,Andre Burakovsky"
"3042045,Madison Bowey"
"3042048,Michael McCarron"
"3042050,Artturi Lehkonen"
"3042054,William Carrier"
"3042055,Shea Theodore"
"3042056,Tyler Bertuzzi"
"3042057,Eric Comrie"
"3042061,Zach Sanford"
"3042062,Jason Dickinson"
"3042063,Ryan Hartman"
"3042069,Spencer Martin"
"3042080,John Hayden"
"3042081,Pavel Buchnevich"
"3042083,Jake Guentzel"
"3042084,Marcus Hogberg"
"3042085,Mattias Janmark"
"3042086,Anthony Duclair"
"3042087,Kurtis Gabriel"
"3042088,Carter Verhaeghe"
"3042095,Oliver Bjorkstrand"
"3042103,Mason Geertsen"
"3042109,Juuse Saros"
"3042110,Miles Wood"
"3042111,Nicholas Paul"
"3042114,Andrew Copp"
"3042120,Ben Harpur"
"3042122,Ryan Graves"
"3042134,Hudson Fasching"
"3042138,Tyler Motte"
"3042169,Will Butcher"
"3042171,Saku Maenalanen"
"3042173,Tucker Poolman"
"3042182,Cal Petersen"
"3042191,Connor Clifton"
"3042192,Luke Johnson"
"3042198,Carson Soucy"
"3042228,Josh Brown"
"3042242,Sean Malone"
"3042245,Dominik Kubalik"
"3042255,Kyle Burroughs"
"3042262,Andreas Johnsson"
"3042264,Tyler Lewington"
"3042269,MacKenzie Weegar"
"3042274,Brian M. Pinho"
"3042283,Anton Blidh"
"3059403,Jon Merrill"
"3067263,Chris Driedger"
"3067264,Andrew Hammond"
"3067313,Anthony Stolarz"
"3067505,Anthony Bitetto"
"3067822,Ross Johnston"
"3067840,Scott Sabourin"
"3067849,Connor Carrick"
"3067858,Chandler Stephenson"
"3067860,Nathan Walker"
"3067862,Matt Murray"
"3067865,Jean-Sebastien Dea"
"3067867,Trevor Carrick"
"3067868,Brock McGinn"
"3067870,Chris Tierney"
"3067879,Justin Dowling"
"3067906,Cedric Paquette"
"3067951,Connor Brown"
"3068035,Andreas Athanasiou"
"3068036,Martin Frk"
"3068087,Damon Severson"
"3068664,Jon Gillies"
"3068665,Brett Kulak"
"3068670,Jujhar Khaira"
"3069265,Oscar Dansk"
"3069266,Joonas Korpisalo"
"3069273,Dakota Mermis"
"3069277,Oskar Sundqvist"
"3069285,Linus Ullmark"
"3069290,Tim  Schaller"
"3069294,Alex Belzile"
"3069341,Colton Parayko"
"3069342,Mackenzie MacEachern"
"3069344,Petteri Lindbohm"
"3069348,Curtis Valk"
"3069351,Maxime Lagace"
"3069352,Esa Lindell"
"3069353,Devin Shore"
"3069357,Gemel Smith"
"3069360,Paul LaDue"
"3069394,Alexander Kerfoot"
"3069397,Jimmy Vesey"
"3069411,Barclay Goodrow"
"3069440,Christian Djoos"
"3069448,Matt Grzelcyk"
"3069449,Matt Benning"
"3069521,Joakim Ryan"
"3069613,Vinnie Hinostroza"
"3069621,Adam Pelech"
"3069687,Josh Anderson"
"3069833,Zack Mitchell"
"3069834,Phillip Di Giuseppe"
"3069836,Jaccob Slavin"
"3070196,Ryan Dzingel"
"3070197,Max McCormick"
"3070214,Nikita Gusev"
"3094261,Yanni Gourde"
"3094544,Kevin Czuczman"
"3095330,Pheonix Copley"
"3095891,Justin Kloos"
"3095892,Vinni Lettieri"
"3095975,Charlie Lindgren"
"3096102,Troy Stecher"
"3096115,Mike Vecchione"
"3096177,Casey Nelson"
"3096186,Trevor Moore"
"3096217,Thatcher Demko"
"3096235,Kevin Rooney"
"3096236,Brandon Tanev"
"3096237,Noel Acciari"
"3096249,Devon Toews"
"3096263,Joseph Gambardella"
"3096605,Ryan Carpenter"
"3097115,Jordan Oesterle"
"3109556,Melker  Karlsson"
"3111624,Dennis Rasmussen"
"3111908,Pierre-Edouard Bellemare"
"3112266,Tomas Nosek"
"3114717,Aaron Ekblad"
"3114722,Sam Reinhart"
"3114727,Leon Draisaitl"
"3114732,Sam Bennett"
"3114733,Michael Dal Colle"
"3114734,Jake Virtanen"
"3114735,Haydn Fleury"
"3114736,William Nylander"
"3114741,Nikolaj Ehlers"
"3114742,Nick Ritchie"
"3114743,Kevin Fiala"
"3114744,Brendan Perlini"
"3114747,Jakub Vrana"
"3114755,Dylan Larkin"
"3114756,Sonny Milano"
"3114757,Travis Sanheim"
"3114766,Alex Tuch"
"3114769,Tony DeAngelo"
"3114770,Nick Schmaltz"
"3114774,Robby Fabbri"
"3114775,Kasperi Kapanen"
"3114777,Jared McCann"
"3114778,David Pastrnak"
"3114802,Adrian Kempe"
"3114983,Brendan Lemieux"
"3114984,Jayce Hawryluk"
"3114985,Ivan Barbashev"
"3114994,Alex Nedeljkovic"
"3114995,Marcus Pettersson"
"3114996,Vitek Vanecek"
"3114997,Andreas Englund"
"3115000,Ryan MacInnis"
"3115014,Nicolas Aube-Kubel"
"3115016,Roland McKeown"
"3115032,Brandon Montour"
"3115033,Ryan Donato"
"3115035,Christian Dvorak"
"3115546,Jonas Johansson"
"3120307,Viktor Arvidsson"
"3149603,Michael Bunting"
"3149610,Daniel Walcott"
"3149612,Joel Hanley"
"3149619,Andrew Mangiapane"
"3149621,Dysin Mayo"
"3149632,Ashton Sautner"
"3149633,Garnet Hathaway"
"3149649,Frederick Gaudreau"
"3149697,Sammy Blais"
"3149715,Jack Rodewald"
"3149716,Clark Bishop"
"3149827,Conor Sheary"
"3149829,Michael Amadio"
"3149839,Jake Middleton"
"3149843,Darren Raddysh"
"3150085,Chase De Leo"
"3150455,Vladimir Tkachev"
"3150468,Liam O'Brien"
"3150479,Hayden Hodgson"
"3150480,Joe Hicketts"
"3150483,Erik Burgdoerfer"
"3150499,Brandon Baddock"
"3150520,Juho Lammikko"
"3151036,Warren Foegele"
"3151037,Lucas Wallmark"
"3151038,Elvis Merzlikins"
"3151095,Max Willman"
"3151096,Victor Olofsson"
"3151135,Jake Chelios"
"3151136,Jake Walman"
"3151137,Ville Husso"
"3151138,Austin Poganski"
"3151168,William Lagesson"
"3151187,Brayden Point"
"3151191,Ben Thomas"
"3151297,Igor Shesterkin"
"3151322,Sam Lafferty"
"3151323,Anthony Angello"
"3151325,Mark Friedman"
"3151326,Oskar Lindblom"
"3151340,Louie Belpedio"
"3151341,Kaapo Kahkonen"
"3151430,Ondrej Kase"
"3151741,Danton Heinen"
"3151742,Anders Bjork"
"3151763,Pierre Engvall"
"3151772,Fredrik Olofsson"
"3151775,Dylan Sikura"
"3151784,Gustav Forsling"
"3151791,Rourke Chartier"
"3151792,Kevin Labanc"
"3151981,Ilya Sorokin"
"3490175,Danick Martel"
"3527554,Frank Vatrano"
"3571762,Ben Hutton"
"3601768,Nikita Soshnikov"
"3648002,Jack Eichel"
"3648008,Evan Rodrigues"
"3648015,A.J. Greer"
"3648020,Zane McIntyre"
