playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8480382,40,A. Georgiev,G,17/20,6/7,0/0,23/27,0.852,3,1,0,0,4,3600,COL,CAR,2023-10-21,Saturday 09:00 PM,2023020076,1,0,4
8479973,74,S. Skinner,G,17/18,5/6,2/3,24/27,0.889,1,1,1,0,3,3824,EDM,WPG,2023-10-21,Saturday 10:00 PM,2023020077,1,0,1
8475831,31,P. Grubauer,G,19/23,2/2,2/2,23/27,0.852,4,0,0,0,4,3600,SEA,NYR,2023-10-21,Saturday 10:00 PM,2023020078,1,0,0
8475660,39,C. Talbot,G,17/20,2/3,2/2,21/25,0.84,3,1,0,0,4,3483,LAK,BOS,2023-10-21,Saturday 10:30 PM,2023020079,1,0,0
8473503,47,J. Reimer,G,24/26,4/4,1/1,29/31,0.935,2,0,0,2,2,3600,DET,CGY,2023-10-22,Sunday 05:00 PM,2023020080,1,0,4
8476434,36,J. Gibson,G,12/14,10/10,1/1,23/25,0.92,2,0,0,0,2,3515,ANA,BOS,2023-10-22,Sunday 08:30 PM,2023020081,1,0,0
8477480,31,E. Comrie,G,15/17,6/7,3/3,24/27,0.889,2,1,0,0,3,3413,BUF,MTL,2023-10-23,Monday 07:00 PM,2023020082,1,0,0
8475311,35,D. Kuemper,G,10/12,3/5,0/0,13/17,0.765,2,2,0,0,4,3570,WSH,TOR,2023-10-24,Tuesday 06:00 PM,2023020083,1,0,0
8478007,90,E. Merzlikins,G,17/20,5/5,2/2,24/27,0.889,3,0,0,2,3,3704,CBJ,ANA,2023-10-24,Tuesday 08:30 PM,2023020084,1,0,1
8476341,31,A. Forsberg,G,12/16,1/2,0/0,13/18,0.722,4,1,0,0,5,2400,OTT,BUF,2023-10-24,Tuesday 06:45 PM,2023020085,1,0,0
8476914,70,J. Korpisalo,G,5/5,0/0,0/0,5/5,1.0,0,0,0,0,0,1182,OTT,BUF,2023-10-24,Tuesday 06:45 PM,2023020085,0,0,0
8477992,31,J. Johansson,G,25/25,6/6,1/1,32/32,1.0,0,0,0,0,0,3600,TBL,CAR,2023-10-24,Tuesday 07:00 PM,2023020086,1,1,4
8480051,30,C. Primeau,G,24/26,5/7,0/0,29/33,0.879,2,2,0,0,4,3468,MTL,NJD,2023-10-24,Tuesday 07:15 PM,2023020087,1,0,0
8477968,39,A. Nedeljkovic,G,25/29,5/5,0/0,30/34,0.882,4,0,0,0,4,3600,PIT,DAL,2023-10-24,Tuesday 07:30 PM,2023020088,1,0,0
8476932,41,A. Stolarz,G,23/23,2/3,2/2,27/28,0.964,0,1,0,0,1,3569,FLA,SJS,2023-10-24,Tuesday 07:45 PM,2023020089,1,0,4
8478009,30,I. Sorokin,G,25/29,6/7,1/1,32/37,0.865,4,1,0,0,5,3527,NYI,COL,2023-10-24,Tuesday 08:00 PM,2023020090,1,0,0
8478024,35,V. Husso,G,29/32,3/5,1/1,33/38,0.868,3,2,0,0,5,3895,DET,SEA,2023-10-24,Tuesday 08:15 PM,2023020091,1,0,1
8475852,34,P. Mrazek,G,36/39,4/4,0/0,40/43,0.93,3,0,0,0,3,3566,CHI,BOS,2023-10-24,Tuesday 08:30 PM,2023020092,1,0,0
8476945,37,C. Hellebuyck,G,16/17,2/3,0/0,18/20,0.9,1,1,0,0,2,3572,WPG,STL,2023-10-24,Tuesday 08:45 PM,2023020093,1,0,4
8479406,32,F. Gustavsson,G,20/23,3/4,1/1,24/28,0.857,3,1,0,0,4,3600,MIN,EDM,2023-10-24,Tuesday 09:00 PM,2023020094,1,0,4
8477424,74,J. Saros,G,21/24,0/0,0/0,21/24,0.875,3,0,0,0,3,3537,NSH,VAN,2023-10-24,Tuesday 09:15 PM,2023020095,1,0,0
8474593,25,J. Markstrom,G,13/14,4/6,0/0,17/20,0.85,1,2,0,0,3,3557,CGY,NYR,2023-10-24,Tuesday 09:45 PM,2023020096,1,0,0
8477831,29,P. Copley,G,19/21,5/6,0/0,24/27,0.889,2,1,0,0,3,3592,LAK,ARI,2023-10-24,Tuesday 10:30 PM,2023020097,1,0,4
8480313,36,L. Thompson,G,25/27,1/1,0/0,26/28,0.929,2,0,0,0,2,3592,VGK,PHI,2023-10-24,Tuesday 11:00 PM,2023020098,1,0,4
